strategy_name,mean_monthly_return,monthly_volatility,annual_return,annual_volatility,sharpe_ratio,information_ratio,max_drawdown,calmar_ratio,win_rate,skewness,kurtosis,var_5,cvar_5,beta,alpha,annual_alpha,tracking_error,total_months,long_allocation,short_allocation,long_percentage,short_percentage
Long-Only,0.01000908604129938,0.04186952732192267,0.12010903249559254,0.14504029722092668,0.7680306893425505,0.1127051925132236,-0.24024764522126094,0.4999384380436932,0.6607142857142857,-0.46170574742606785,1.0939860865332345,-0.06172544496315,-0.08631496209888888,0.9414544153028047,0.0009709107063699454,0.011650928476439344,0.04353231737129251,168,100,0,100.0,0.0
90/10 Long-Short,0.007238019172422593,0.08596648256712298,0.08685623006907112,0.2977966311084823,0.26324510802045853,-0.07919737972240358,-0.5794472123347058,0.14989498304618715,0.49404761904761907,0.24967404349820532,1.0781860073301712,-0.13002353399199998,-0.17139712799814816,-0.40008721915012,0.011078946972182362,0.13294736366618834,0.3579219958539165,168,90,10,90.0,10.0
80/20 Long-Short,0.003263117975091487,0.07759342451993995,0.03915741570109785,0.2687915072035934,0.11411619694912771,-0.2247229394092674,-0.7039203957088421,0.055627619173708766,0.4642857142857143,-0.07209639942104128,1.969383498544064,-0.11334733286143753,-0.16337103265041666,-0.4650838140520283,0.007728027787520328,0.09273633345024393,0.338395798775674,168,80,20,80.0,20.0
60/40 Long-Short,0.002572777460109204,0.0666092346233555,0.030873329521310444,0.2307411572418554,0.0970093832274043,-0.2729448779846833,-0.680320152317597,0.045380589441804016,0.5059523809523809,0.19678523913651702,0.7860315809618053,-0.11208328585425001,-0.13860325772157409,-0.46400073637365646,0.007027289481843819,0.08432747378212582,0.30896122831488376,168,60,40,60.0,40.0
70/30 Long-Short,0.002254813614186188,0.07227137571832588,0.02705776337023426,0.2503553893540802,0.07420588509836352,-0.26909922367953726,-0.7446301602492761,0.03633718430257548,0.4880952380952381,0.11830767035872784,1.0368444334471252,-0.11116881963904761,-0.1544073426794709,-0.5189588158076951,0.007236935629481732,0.0868432275537808,0.32755557489251397,168,70,30,70.0,30.0
40/60 Long-Short,0.0016719383406871202,0.058482907837616824,0.02006326008824544,0.2025907354982409,0.057159803825417854,-0.3317869770858708,-0.6190364193005131,0.03241046804793188,0.47619047619047616,0.26096381613721614,0.41733384876860313,-0.09447698968337498,-0.11267216976009259,-0.4403203817387594,0.005899113601656032,0.07078936321987239,0.2867486091018139,168,40,60,40.0,60.0
30/70 Long-Short,0.0016430042178530464,0.05784808019403885,0.019716050614236556,0.20039162803278832,0.056052869013138606,-0.33325069147227626,-0.6137351287284398,0.03212468977469977,0.5059523809523809,0.28193750601716655,0.5167952736538095,-0.09549582268861906,-0.11259441255592592,-0.4577626493633843,0.0060376291932931776,0.07245155031951814,0.2865310293869906,168,30,70,30.0,70.0
50/50 Long-Short,0.0016325428093750937,0.06227468244848017,0.019590513712501124,0.2157258280519709,0.05148248995971915,-0.32148897588429487,-0.666898138853441,0.029375571127221844,0.47619047619047616,0.29805164082108215,0.6061931357774086,-0.10056364387010001,-0.12426307335844444,-0.45704001909824993,0.006020230370817851,0.07224276444981421,0.2974042898678564,168,50,50,50.0,50.0
20/80 Long-Short,0.001336739067652094,0.05733581942641094,0.016040868811825128,0.19861710468027677,0.038047862344234455,-0.3480728263658219,-0.6159555438155715,0.026042250894373085,0.5238095238095238,0.22391710281387633,0.6143196046969321,-0.09344816765518751,-0.11597693823777777,-0.45247851349126844,0.005680635143498703,0.06816762172198444,0.2848882129329763,168,20,80,20.0,80.0
10/90 Long-Short,0.0006834513068640887,0.05832236265449386,0.008201415682369064,0.20203459067008203,-0.001370752144098096,-0.3719931814992237,-0.6718098251316814,0.012207942449727503,0.5,0.24560852838305136,0.7157319213363094,-0.09845747135094446,-0.11968474449679012,-0.4572447928602555,0.005073104742739974,0.060877256912879686,0.287643171770256,168,10,90,10.0,90.0
Short-Only,-0.007649359639640417,0.0697712865267749,-0.091792315675685,0.24169482634763997,-0.41498722287612066,-0.5602163046316099,-0.890843104850545,-0.10303982281042048,0.44047619047619047,0.1300751956259396,0.33842852367854226,-0.11640176777535,-0.14836943937433333,-1.2861437299678105,0.0046979110815132934,0.05637493297815952,0.36949126301762353,168,0,100,0.0,100.0
